Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
74,6.1,2.8,4.7,1.2,Iris-versicolor
19,5.7,3.8,1.7,0.3,Iris-setosa
119,7.7,2.6,6.9,2.3,Iris-virginica
79,6.0,2.9,4.5,1.5,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
32,5.4,3.4,1.5,0.4,Iris-setosa
65,5.6,2.9,3.6,1.3,Iris-versicolor
142,6.9,3.1,5.1,2.3,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-virginica
13,4.8,3.0,1.4,0.1,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
105,6.5,3.0,5.8,2.2,Iris-virginica
70,5.6,2.5,3.9,1.1,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
133,6.4,2.8,5.6,2.2,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
128,6.1,3.0,4.9,1.8,Iris-virginica
27,5.0,3.4,1.6,0.4,Iris-setosa
129,6.4,2.8,5.6,2.1,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
146,6.7,3.0,5.2,2.3,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
46,4.8,3.0,1.4,0.3,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
66,6.7,3.1,4.4,1.4,Iris-versicolor
12,4.8,3.4,1.6,0.2,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
147,6.3,2.5,5.0,1.9,Iris-virginica
52,6.4,3.2,4.5,1.5,Iris-versicolor
28,5.2,3.5,1.5,0.2,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
143,5.8,2.7,5.1,1.9,Iris-virginica
86,6.0,3.4,4.5,1.6,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
82,5.5,2.4,3.7,1.0,Iris-versicolor
134,6.3,2.8,5.1,1.5,Iris-virginica
138,6.4,3.1,5.5,1.8,Iris-virginica
76,6.6,3.0,4.4,1.4,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
97,5.7,2.9,4.2,1.3,Iris-versicolor
106,7.6,3.0,6.6,2.1,Iris-virginica
67,5.6,3.0,4.5,1.5,Iris-versicolor
1,5.1,3.5,1.4,0.2,Iris-setosa
123,7.7,2.8,6.7,2.0,Iris-virginica
68,5.8,2.7,4.1,1.0,Iris-versicolor
29,5.2,3.4,1.4,0.2,Iris-setosa
41,5.0,3.5,1.3,0.3,Iris-setosa
45,5.1,3.8,1.9,0.4,Iris-setosa
61,5.0,2.0,3.5,1.0,Iris-versicolor
124,6.3,2.7,4.9,1.8,Iris-virginica
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5.0,3.0,1.6,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
95,5.6,2.7,4.2,1.3,Iris-versicolor
40,5.1,3.4,1.5,0.2,Iris-setosa
96,5.7,3.0,4.2,1.2,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-virginica
48,4.6,3.2,1.4,0.2,Iris-setosa
98,6.2,2.9,4.3,1.3,Iris-versicolor
114,5.7,2.5,5.0,2.0,Iris-virginica
34,5.5,4.2,1.4,0.2,Iris-setosa
139,6.0,3.0,4.8,1.8,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
63,6.0,2.2,4.0,1.0,Iris-versicolor
